time,open,high,low,close,Volume,Volume MA
2017-11-09T14:30:00Z,205.27,206.33,200.37,205.32,24464067,12832993.9
2017-11-10T14:30:00Z,213.08,218.67,211.63,216.14,31331374,13613650.95
2017-11-13T14:30:00Z,216.14,217.17,212.01,212.63,14559413,13620823.7
2017-11-14T14:30:00Z,213,214.8,211.23,214.18,13232319,13684196.3
2017-11-15T14:30:00Z,211.95,212,207.8,209.98,12548731,13602487.5
2017-11-16T14:30:00Z,212.98,214.2,211.25,211.61,11044183,13441234
2017-11-17T14:30:00Z,213.92,215.35,210.75,211.36,12891568,13521289.3
2017-11-20T14:30:00Z,211.99,214.57,210.5,214.08,9902511,13480546.05
2017-11-21T14:30:00Z,215.69,216.52,214.4,216.05,9979358,13470457.35
2017-11-22T14:30:00Z,217,217,213.61,214.93,8915998,12881055.75
2017-11-24T14:30:00Z,215.59,217,214.6,216.96,4507129,12702984.05
2017-11-27T14:30:00Z,217.31,217.36,214.01,214.14,10572364,12516360.5
2017-11-28T14:30:00Z,214.35,214.73,208.24,210.71,12818804,12527229.85
2017-11-29T14:30:00Z,210.01,210.1226,191.23,196.42,34919741,13758331.55
2017-11-30T14:30:00Z,199.2,202.68,196.65,200.71,20594199,14159819.2
2017-12-01T14:30:00Z,199.31,200.13,192.47,197.68,20288748,14746369.7
2017-12-04T14:30:00Z,200.05,200.3,184.5,186.66,31021123,15855374.65
2017-12-05T14:30:00Z,182.4,192.7,180.58,187.74,24537194,16594803.55
2017-12-06T14:30:00Z,185.7,190.14,184.84,189.26,11675760,16643964.45
2017-12-07T14:30:00Z,191.96,193.6,190.12,191.99,13564988,16668478.6
2017-12-08T14:30:00Z,194.01,194.78,191.15,191.49,11671856,16028868.05
2017-12-11T14:30:00Z,192.06,194.78,191.42,194.66,9318741,14928236.4
2017-12-12T14:30:00Z,192.9,193.84,189.89,190.84,11375445,14769038
2017-12-13T14:30:00Z,192.5,192.55,185.88,186.18,13856992,14800271.65
2017-12-14T14:30:00Z,185.92,189.34,184.6,186.47,10954056,14720537.9
2017-12-15T14:30:00Z,188.251,192.38,185.62,191.56,16750878,15005872.65
2017-12-18T14:30:00Z,193.2,198.02,192,197.9,11942558,14958422.15
2017-12-19T14:30:00Z,197.52,197.73,194.96,196.11,9327493,14929671.25
2017-12-20T14:30:00Z,197.7,198.07,194.55,196.8,7220456,14791726.15
2017-12-21T14:30:00Z,196.94,197.95,195.55,195.89,7522626,14722057.55
2017-12-22T14:30:00Z,194.4,195.65,191.25,195.27,11656871,15079544.65
2017-12-26T14:30:00Z,193.03,197.75,191.82,197.44,8877033,14994778.1
2017-12-27T14:30:00Z,196.9,199.97,196.31,197.17,8237223,14765699.05
